date,active_address,volume,daily_tx_count
2024-07-01,628163,41964627051.93397,615316
2024-07-02,504757,39648502324.56812,585913
2024-07-03,537796,44731771557.63853,536993
2024-07-04,451092,51215946031.355515,532904
2024-07-05,416655,54980340369.533905,479422
2024-07-06,482352,30762928563.04067,623400
2024-07-07,405990,30634925734.026917,654723
2024-07-08,491720,52611162392.254684,607050
2024-07-09,494095,47362566094.507744,628552
2024-07-10,416391,49092467392.179535,621989
2024-07-11,417476,46190399523.878716,659184
2024-07-12,453418,42422181914.38321,664802
2024-07-13,394598,31507527931.943428,734778
2024-07-14,532416,32797000993.505074,542009
2024-07-15,534426,59770208536.714905,540330
2024-07-16,524275,72842984294.30844,544247
2024-07-17,498813,53954443651.04659,627955
2024-07-18,510201,34309840180.03131,433946
2024-07-19,515839,50224422585.25039,491337
2024-07-20,495359,37542617696.39616,638954
2024-07-21,398979,31687774786.94426,826503
2024-07-22,525189,55155789366.49746,832117
2024-07-23,413413,64868719616.0632,773142
2024-07-24,475652,49264221296.99571,573891
2024-07-25,454046,48606144626.85758,686196
2024-07-26,433153,40449012092.94817,441110
2024-07-27,475072,39511220072.85256,408258
2024-07-28,368769,25502865991.36029,723868
2024-07-29,522019,61492506838.55346,788660
2024-07-30,411574,64601063183.8099,634780
2024-07-31,505776,65897189063.99521,511909
2024-08-01,497141,50584430218.663055,514352
2024-08-02,483563,71513646594.74387,373987
2024-08-03,472982,28701855020.94229,473350
2024-08-04,449341,35568435518.50849,462446
2024-08-05,517068,73320980383.16896,493734
2024-08-06,487570,54684131953.25382,434748
2024-08-07,498670,52858785362.35351,347933
2024-08-08,478920,50015534995.4735,420194
2024-08-09,464922,54217810166.64439,343342
2024-08-10,405534,31977323799.409977,479070
2024-08-11,454604,35352145723.19321,553543
2024-08-12,494187,49221008317.975105,405629
2024-08-13,486546,53574408281.78645,504302
2024-08-14,427465,55588561070.914,407840
2024-08-15,477251,41780452961.962135,617936
2024-08-16,459259,41041644784.631386,527897
2024-08-17,395780,24033645553.983902,641338
2024-08-18,338357,26987235792.797817,721087
2024-08-19,456997,49895705210.1399,522053
2024-08-20,433477,49910675024.85161,675638
2024-08-21,450963,46769749391.96713,614632
2024-08-22,473386,46499029354.642105,739453
2024-08-23,452777,55369264292.47114,735535
2024-08-24,391822,36055025618.89153,724243
2024-08-25,334841,31802959109.525913,653020
2024-08-26,456632,49204418688.219154,590420
2024-08-27,453342,68796265246.3443,621286
2024-08-28,512224,59245782575.84468,664454
2024-08-29,472700,46379352648.74282,469948
2024-08-30,564152,42720933295.12265,507320
2024-08-31,437023,24057316053.955395,650152
2024-09-01,432926,47749559020.62668,637170
2024-09-02,469217,42358244462.33532,711191
2024-09-03,452423,57563152088.01769,549648
2024-09-04,439038,53717284213.8752,696413
2024-09-05,472772,47969375252.86492,687442
2024-09-06,475395,50290465304.734695,622877
2024-09-07,395271,24933873309.0931,709504
2024-09-08,372784,29452484903.01689,912368
2024-09-09,509032,50174690685.757225,546729
2024-09-10,489012,79460717057.92299,556878
2024-09-11,422312,71023814215.33894,385805
2024-09-12,504646,61294462079.754074,511772
2024-09-13,537402,68087822456.29165,393934
2024-09-14,425009,40328280926.661964,613144
2024-09-15,466884,35114995424.94762,643405
2024-09-16,453238,54639500309.576416,446822
2024-09-17,488120,50340512159.35423,513419
2024-09-18,501110,49579368165.595726,522056
2024-09-19,493923,55050924863.94579,421119
2024-09-20,567672,61952145403.46692,487571
2024-09-21,460606,26250591493.78084,504746
2024-09-22,377400,25801515704.007114,564593
2024-09-23,548909,47787921860.16544,508557
2024-09-24,504812,53100440477.07868,495039
2024-09-25,494429,52081803133.49147,461711
2024-09-26,484270,54083949012.867516,428740
2024-09-27,488722,53005915488.19359,414959
2024-09-28,391868,30426624305.20969,475997
2024-09-29,431341,32172647649.87854,621905
2024-09-30,472186,63198282400.627045,572232
2024-10-01,522739,56684436500.92373,589417
2024-10-02,469260,48675038242.550415,581552
2024-10-03,493311,53891442550.0505,551895
2024-10-04,491967,49455714203.884544,526431
2024-10-05,374871,26175780321.307392,738343
2024-10-06,377216,35061870767.72242,708599
2024-10-07,480672,63322601337.232155,686617
